LECTURE NAME,LECTURE CODE,LECTURE LOCATION AND TIME,PROFESSOR,PROFESSOR CONTACT,LECTURE CAREER,LECTURE WEBSITE,LECTURE UNITS OF CREDIT,LECTURE INTRODUCTION
ADVANCED WIRELESS COMMUNICATIONS,TELE9753,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Ainsworth 202 (K-J17-202)",MR W NI,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/TELE9753.html,6 units,None
APPLIED BIOINFORMATICS,BINF9010,"Mon 11:00 - 12:00 (Weeks:1-5,6-12),Rupert Myers Theatre (K-M15-1001)/Thu 12:00 - 13:00 (Weeks:1-5,6-12),Old Main Building 230 (K-K15-230)/Fri 12:00 - 13:00 (Weeks:1-5,6-12),Old Main Building 150 (K-K15-150)",DR BA GAETA,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/BINF9010.html,6 units,None
ADVANCED C++ PROGRAMMING,COMP6771,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6771.html,6 units,None
DESIGN AND ANALYSIS OF ALGORITHMS,COMP9101,"Mon 12:00 - 14:00 (Weeks:1-5,6-12),Central Lecture Block 7 (K-E19-104)/Tue 15:00 - 16:00 (Weeks:1-5,6-12),Central Lecture Block 7 (K-E19-104)",APRO A IGNJATOVIC,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9101.html,6 units,None
DATABASE SYSTEMS IMPLEMENTATION,COMP9315,"Tue 16:00 - 18:00 (Weeks:1-9,10-12),Mathews Theatre B (K-D23-203)/Thu 12:00 - 14:00 (Weeks:1-9,10-12),Mathews Theatre B (K-D23-203)",DR JA SHEPHER,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9315.html,6 units,None
NETWORK OPERATIONS AND CONTROL,TELE9752,"Thu 18:00 - 21:00 (Weeks:1-9,10-12),Old Main Building 150 (K-K15-150)",DR T MOORS,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/TELE9752.html,6 units,None
ARTIFICIAL INTELLIGENCE,COMP9414,"Thu 20:00 - 21:00 (Weeks:1-5,6-12),Sir John Clancy Auditorium (K-C24-G17)",DR AD BLAIR,+61 2 9385 7131,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9414.html,6 units,None
DATA WAREHOUSING AND DATA MINING,COMP9318,"Mon 18:00 - 21:00 (Weeks:1-5,6-12),Keith Burrows Theatre (K-J14-G5)",PROF W WANG,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9318.html,6 units,None
INFORMATION RETRIEVAL AND WEB SEARCH,COMP6714,"Mon 12:00 - 15:00 (Weeks:1-9,10-12),Central Lecture Block 8 (K-E19-105)",PROF W WANG,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6714.html,6 units,None
EXTENDED DIGITAL FORENSICS AND INCIDENT RESPONSE,COMP6845,"Tue 20:00 - 21:00 (Weeks:1-9,11-13),Ainsworth 102 (K-J17-102)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6845.html,6 units,None
WEB DATA COMPRESSION AND SEARCH,COMP9319,"Thu 18:00 - 21:00 (Weeks:1-9,10-12),Colombo Theatre A (K-B16-LG03)",APRO KK WONG,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9319.html,6 units,None
EXTENDED ARTIFICIAL INTELLIGENCE,COMP9814,"Thu 20:00 - 21:00 (Weeks:1-5,6-12),Sir John Clancy Auditorium (K-C24-G17)",DR AD BLAIR,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9814.html,6 units,None
SYSTEM AND SOFTWARE SECURITY ASSESSMENT,COMP6447,"Thu 18:00 - 19:00 (Weeks:2-9,10-13),Ainsworth 201 (K-J17-201)",None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6447.html,6 units,None
ENGINEERING POSTGRADUATE COURSEWORK RESEARCH SKILL,GSOE9010,"Mon 16:00 - 17:00 (Weeks:1-5),Science Theatre (K-F13-G09)/Mon 16:00 - 17:00 (Weeks:6-12),Science Theatre (K-F13-G09)",APRO AB SPROUL,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9010.html,6 units,None
ADVANCED OPERATING SYSTEMS,COMP9242,"Fri 14:00 - 17:00 (Weeks:1-9,10-12),UNSW Business School  216 (K-E12-216)","APRO K ELPHINSTONE,SCI GA HEISER",None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9242.html,6 units,None
FUNDAMENTALS OF GEOPOSITIONING,GMAT9205,"Tue 11:00 - 13:00 (Weeks:1-5,6-12),Civil Engineering 102 (K-H20-102)",APRO J WANG,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9205.html,6 units,None
FOUNDATIONS OF COMPUTER SCIENCE,COMP9020,"Fri 13:00 - 16:00 (Weeks:1-5,6-13),Ainsworth G03 (K-J17-G03)",PROF M THIELSCHER,+61 2 9385 7213,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9020.html,6 units,None
SECURITY ENGINEERING AND CYBER SECURITY,COMP6441,"Mon 17:00 - 20:00 (Weeks:1-5,6-13),Rex Vowels Theatre (K-F17-LG3)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6441.html,6 units,None
ENGINEERING PROJECT MANAGEMENT,GSOE9820,"Wed 18:00 - 21:00 (Weeks:1-5,6-13),Ainsworth G03 (K-J17-G03)",MR CL MARTIN,+61 2 9385 1545,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9820.html,6 units,None
SECURING WIRELESS NETWORKS,COMP9337,"Wed 12:00 - 15:00 (Weeks:2-5,6-13),Ainsworth 102 (K-J17-102)",PROF S JHA,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9337.html,6 units,None
CODING AND INFORMATION THEORY,TELE9754,"Mon 18:00 - 21:00 (Weeks:1-9,10-12),Tyree Energy Technology G16 (K-H6-G16)",PROF W ZHANG,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/TELE9754.html,6 units,None
SOFTWARE SERVICE DESIGN AND ENGINEERING,COMP9322,"Wed 15:00 - 18:00 (Weeks:1-5,6-12),UNSW Business School  232 (K-E12-232)",PROF F RABHI,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9322.html,6 units,None
BAYESIAN INFERENCE AND COMPUTATION,MATH5960,"Mon 18:00 - 20:00 (Weeks:1-9,10-13),Old Main Building 149 (K-K15-149)",DR Z BOTEV,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5960.html,6 units,None
MICROWAVE REMOTE SENSING,GMAT9606,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9606.html,6 units,None
TIME SERIES,MATH5845,"Mon 17:00 - 20:00 (Weeks:1-5,6-12),Old Main Building G31 (K-K15-G31)",PROF WT DUNSMUIR,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5845.html,6 units,None
COMPUTER VISION,COMP9517,"Thu 12:00 - 15:00 (Weeks:1-5,6-12),Ainsworth G02 (K-J17-G02)",PROF A SOWMYA,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9517.html,6 units,None
PARAMETERIZED AND EXACT COMPUTATION,COMP6741,"Tue 12:00 - 14:00 (Weeks:2-8,10-11),UNSW Business School 105 (K-E12-105)/Wed 16:00 - 18:00 (Weeks:2-8,10-11),UNSW Business School 105 (K-E12-105)",DR S GASPERS,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6741.html,6 units,None
STATISTICAL INFERENCE,MATH5905,"Fri 17:00 - 20:00 (Weeks:1-9,10-12),Colombo Theatre B (K-B16-LG04)",APRO SI PENEV,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5905.html,6 units,None
MODELLING CONCURRENT SYSTEMS,COMP6752,"Mon 10:00 - 12:00 (Weeks:1-5,6-12),UNSW Business School 130 (K-E12-130)/Tue 10:00 - 11:00 (Weeks:1-5,6-12),UNSW Business School 130 (K-E12-130)",DR RJ VAN GLABBEEK,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6752.html,6 units,None
SOFTWARE CONSTRUCTION: TECHNIQUES AND TOOLS,COMP9041,"Tue 16:00 - 18:00 (Weeks:1-9,10-12),Law Theatre G04 (K-F8-G04)/Thu 17:00 - 18:00 (Weeks:1-9,10-12),Law Theatre G04 (K-F8-G04)",DR AJ TAYLOR,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9041.html,6 units,None
INTRODUCTION TO PROBABILITY AND STOCHASTIC PROCESSES,MATH5846,"Wed 17:00 - 20:00 (Weeks:1-4,5-6),Red Centre Central Wing 4082 (K-H13-4082)/Fri 17:00 - 20:00 (Weeks:1-4,5-6),Red Centre Central Wing 4082 (K-H13-4082)",DR LL CHAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5846.html,6 units,None
CONCEPTS OF PROGRAMMING LANGUAGES,COMP9161,"Tue 14:00 - 16:00 (Weeks:1-9,10-12),Ainsworth 102 (K-J17-102)/Thu 14:00 - 15:00 (Weeks:1-9,10-12),Old Main Building G31 (K-K15-G31)/Thu 15:00 - 16:00 (Weeks:1-9,10-12),Old Main Building G31 (K-K15-G31)",APRO GC KELLER,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9161.html,6 units,None
EXTENDED WEB APPLICATION SECURITY AND TESTING,COMP6843,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6843.html,6 units,None
OPERATING SYSTEMS,COMP9201,"Mon 15:00 - 17:00 (Weeks:1-5,6-12),Law Theatre G04 (K-F8-G04)/Wed 15:00 - 16:00 (Weeks:1-5,6-12),Law Theatre G04 (K-F8-G04)",APRO K ELPHINSTONE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9201.html,6 units,None
DIGITAL FORENSICS,COMP6445,"Thu 18:00 - 20:00 (Weeks:1-9,11-13),Ainsworth 102 (K-J17-102)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6445.html,6 units,None
COMPUTER GRAPHICS,COMP9415,"Mon 12:00 - 15:00 (Weeks:1-9,11-13),Mathews Theatre B (K-D23-203)",MR R CLIFTON-EVERES,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9415.html,6 units,None
INTERNET OF THINGS SERVICE DESIGN AND ENGINEERING,COMP6324,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Old Main Building G32 (K-K15-G32)",DR L YAO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/curren/COMP6324.html,6 units,None
ENGINEERING DECISION STRUCTURES,GSOE9210,"Thu 09:00 - 12:00 (Weeks:1-9,10-12),Law Theatre G04 (K-F8-G04)",DR V JAUREGUI,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9210.html,6 units,None
NETWORK ROUTING AND SWITCHING,COMP9332,"Mon 18:00 - 21:00 (Weeks:1-5,6-12),Central Lecture Block 3 (K-E19-G04)",DR W HU,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9332.html,6 units,None
NETWORK SYSTEMS ARCHITECTURE,GSOE9758,"Tue 18:00 - 21:00 (Weeks:1-9,10-12),New South Global Theatre (K-G14-127)",PROF V SIVARAMAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9758.html,6 units,None
KNOWLEDGE REPRESENTATION AND REASONING,COMP4418,"Mon 15:00 - 18:00 (Weeks:1-4,6-9,10-13),Colombo Theatre B (K-B16-LG04)","PROF T WALSH,DR H AZIZ,DR N MATTEI,DR DP RAJARATNAM,PROF M PAGNUCCO",None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP4418.html,6 units,None
CAPACITY PLANNING OF COMPUTER SYSTEMS AND NETWORKS,COMP9334,"Tue 12:00 - 15:00 (Weeks:1-5,6-12),Central Lecture Block 6 (K-E19-103)",APRO CT CHOU,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9334.html,6 units,None
EXTENDED SECURITY ENGINEERING AND CYBER SECURITY,COMP6841,"Mon 17:00 - 20:00 (Weeks:1-5,6-13),Rex Vowels Theatre (K-F17-LG3)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6841.html,6 units,None
ADVANCED TOPICS IN STATISTICAL MACHINE LEARNING,COMP9418,"Mon 12:00 - 15:00 (Weeks:1-9,10-12),Central Lecture Block 5 (K-E19-G06)",DR EV BONILLA PABON,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9418.html,6 units,None
PROGRAMMING LANGUAGES AND COMPILERS,COMP9102,"Mon 18:00 - 21:00 (Weeks:1-5,6-12),Old Main Building 229 (K-K15-229)",PROF J XUE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9102.html,6 units,None
MOBILE DATA NETWORKING,COMP9336,"Tue 15:00 - 18:00 (Weeks:1-9,10-12),Tyree Energy Technology G16 (K-H6-G16)",PROF M HASSAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9336.html,6 units,None
DISTRIBUTED SYSTEMS,COMP9243,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Michael Hintze Theatre (K-H6-LG03)",DR I KUZ,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9243.html,6 units,None
DATABASE SYSTEMS,COMP9311,"Mon 15:00 - 18:00 (Weeks:1-9,10-12),Rex Vowels Theatre (K-F17-LG3)",DR W ZHANG,+61 2 9385 6493,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9311.html,6 units,None
MACHINE LEARNING AND DATA MINING,COMP9417,"Wed 18:00 - 21:00 (Weeks:1-5,6-12),Physics Theatre (K-K14-19)",DR ME BAIN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9417.html,6 units,None
ADVANCED TOPICS IN SOFTWARE VERIFICATION,COMP4161,"Tue 09:00 - 10:30 (Weeks:1-9,10-12),Ainsworth 201 (K-J17-201)/Fri 10:30 - 12:00 (Weeks:1-9,10-12),Ainsworth 201 (K-J17-201)","DR G KLEIN,DR J ANDRONICK,MR R KUMAR",None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP4161.html,6 units,None
E-BUSINESS,INFS5885,"Tue 14:00 - 17:00 (Weeks:1-5,6-12),Colombo LG01 (K-B16-LG01)",DR FT TAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/INFS5885.html,6 units,None
DATA STRUCTURES AND ALGORITHMS,COMP9024,"Mon 18:00 - 21:00 (Weeks:1-3,4-8),Ainsworth G03 (K-J17-G03)/Tue 18:00 - 21:00 (Weeks:1-3,4-8),Ainsworth G03 (K-J17-G03)",DR AJ MAHIDADIA,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9024.html,6 units,None
PRINCIPLES OF REMOTE SENSING,GMAT9600,"Thu 16:00 - 19:00 (Weeks:1-9,10-13),Tyree Energy Technology G16 (K-H6-G16)",APRO L GE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9600.html,6 units,None
INTRODUCTION TO STATISTICS AND STATISTICAL COMPUTATIONS,MATH5856,"Mon 17:00 - 20:00 (Weeks:1-6),Red Centre Central Wing 4082 (K-H13-4082)/Thu 17:00 - 20:00 (Weeks:1-6),Red Centre Central Wing 4082 (K-H13-4082)",DR Y FAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5856.html,6 units,None
DIGITAL CIRCUITS AND SYSTEMS,COMP9222,"Tue 09:00 - 11:00 (Weeks:1-9,10-12),Ainsworth G02 (K-J17-G02)/Thu 13:00 - 14:00 (Weeks:1-9,10-12),Ainsworth G02 (K-J17-G02)",APRO OF DIESSEL,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9222.html,6 units,None
EXTENDED DESIGN AND ANALYSIS OF ALGORITHMS,COMP9801,"Tue 16:00 - 17:00 (Weeks:1-5,6-12),Webster Theatre A (K-G15-190)",APRO A IGNJATOVIC,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9801.html,6 units,None
PRINCIPLES OF PROGRAMMING,COMP9021,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Central Lecture Block 7 (K-E19-104)/Fri 16:00 - 17:00 (Weeks:1-5,6-12),Keith Burrows Theatre (K-J14-G5)",DR EA MARTIN,+61 2 9385 6936,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9021.html,6 units,None
ADVANCED AND PARALLEL ALGORITHMS,COMP4121,"Wed 10:00 - 11:30 (Weeks:1-9,10-12),Macauley Theatre (K-E15-1027)/Fri 09:00 - 10:30 (Weeks:1-9,10-12),Macauley Theatre (K-E15-1027)",APRO A IGNJATOVIC,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP4121.html,6 units,None
MULTIVARIATE ANALYSIS,MATH5855,"Wed 17:00 - 20:00 (Weeks:1-9,10-12),Old Main Building 149 (K-K15-149)",APRO SI PENEV,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5855.html,6 units,None
FOUNDATIONS OF CONCURRENCY,COMP9151,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9151.html,6 units,None
ENGINEERING POSTGRADUATE COURSEWORK RESEARCH SKILLS,GSOE9011,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9011.html,6 units,None
ALGORITHMIC VERIFICATION,COMP9153,"Mon 15:00 - 17:00 (Weeks:1-5,6-12),UNSW Business School 105 (K-E12-105)/Wed 12:00 - 13:00 (Weeks:1-5,6-12),UNSW Business School 130 (K-E12-130)",DR P HOFNER,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9153.html,6 units,None
PRINCIPLES OF GEOGRAPHIC INFORMATION SYSTEMS AND SCIENCE,GEOS9016,"Thu 17:00 - 18:00 (Weeks:1-5,6-12),Mathews Theatre D (K-D23-304)",APRO S LAFFAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GEOS9016.html,6 units,None
MICROPROCESSORS AND INTERFACING,COMP9032,"Mon 18:00 - 21:00 (Weeks:1-9,10-12),Chemical Sc M11 (K-F10-M11)",DR H GUO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9032.html,6 units,None
AERIAL AND SATELLITE IMAGING SYSTEMS,GMAT9300,"Tue 15:00 - 18:00 (Weeks:1-9,10-12),UNSW Business School 105 (K-E12-105)","EPRO J TRINDER,DR Y ZHOU",None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9300.html,6 units,None
LAUNCHING A STARTUP,GSOE9220,"Tue 12:00 - 15:00 (Weeks:1-9,10-12),Civil Engineering G1 (K-H20-G1)",MS SJ GRIFFITH,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9220.html,6 units,None
NEURAL NETWORKS AND DEEP LEARNING,COMP9444,"Mon 18:00 - 21:00 (Weeks:1-9,10-12),Central Lecture Block 7 (K-E19-104)",DR AD BLAIR,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9444.html,6 units,None
EXTENDED OPERATING SYSTEMS,COMP9283,"Wed 16:00 - 17:00 (Weeks:2-5,6-13),Tyree Energy Technology LG07 (K-H6-LG07)",APRO K ELPHINSTONE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9283.html,6 units,None
SOFTWARE AS A SERVICE PROJECT,COMP9323,"Tue 18:00 - 21:00 (Weeks:1-9,10-12),Colombo LG02 (K-B16-LG02)",SCI B BENATALLAH,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9323.html,6 units,None
BIG DATA MANAGEMENT,COMP9313,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Old Main Building 230 (K-K15-230)",DR X CAO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9313.html,6 units,None
WEB APPLICATION SECURITY AND TESTING,COMP6443,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Civil Engineering 109 (K-H20-109)",PROF RJ BUCKLAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6443.html,6 units,None
HUMAN COMPUTER INTERACTION,COMP9511,"Tue 15:00 - 18:00 (Weeks:1-9,10-12),Central Lecture Block 6 (K-E19-103)",DR N MARCUS,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9511.html,6 units,None
E-BUSINESS STRATEGY &AMP,MBAX9117,"Tue 18:00 - 19:30 (Weeks:1-13),( )",PROF GC LOW,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/2017/MBAX9117.html,6 units,None
COMPUTER NETWORKS AND APPLICATIONS,COMP9331,"Wed 16:00 - 18:00 (Weeks:1-5,6-12),Ritchie Theatre (K-G19-LG02)/Thu 15:00 - 16:00 (Weeks:1-5,6-12),Ritchie Theatre (K-G19-LG02)",PROF M HASSAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9331.html,6 units,None
SWITCHING SYSTEMS ARCHITECTURE,TELE9751,"Wed 18:00 - 21:00 (Weeks:1-5,6-12),Tyree Energy Technology G17 (K-H6-G17)",None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/TELE9751.html,6 units,None
INTERNET OF THINGS EXPERIMENTAL DESIGN STUDIO,COMP6733,"Wed 13:00 - 16:00 (Weeks:1-9,10-12),Vallentine Annexe 121 (K-H22-121)",APRO S KANHERE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP6733.html,6 units,None
COMPUTER ARCHITECTURE,COMP9211,"Wed 09:00 - 11:00 (Weeks:1-5,6-12),Ainsworth 102 (K-J17-102)/Thu 13:00 - 14:00 (Weeks:1-5,6-12),Ainsworth 202 (K-J17-202)",DR H GUO,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9211.html,6 units,None
DATA SERVICES ENGINEERING,COMP9321,"Thu 17:00 - 20:00 (Weeks:1-5,6-12),Tyree Energy Technology G16 (K-H6-G16)",DR H PAIK,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9321.html,6 units,None
ROBOTIC SOFTWARE ARCHITECTURE,COMP9431,"Mon 12:00 - 14:00 (Weeks:1-9,10-12),Ainsworth G01 (K-J17-G01)/Wed 12:00 - 14:00 (Weeks:1-9,10-12),Newton 306 (K-J12-306)",PROF C SAMMU,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9431.html,6 units,None
